crashid,year,month,day,crashtype,bus,heavytruck,articulatedtruck,speedlimit,fatalities,rainfall
1198901010002,1989,1,1,Multiple vehicle,f,,f,80,1,0
1198901010001,1989,1,1,Multiple vehicle,f,,f,80,3,0
3198901010003,1989,1,1,Pedestrian,f,,f,60,1,0
3198901010001,1989,1,1,Single vehicle,f,,f,60,1,0
2198901010001,1989,1,1,Single vehicle,f,,f,100,1,0
3198901010002,1989,1,1,Pedestrian,f,,f,60,1,0
8198902010003,1989,2,1,Single vehicle,f,,f,-9,1,0
2198902010062,1989,2,1,Single vehicle,f,,f,100,2,0
3198902010026,1989,2,1,Pedestrian,f,,f,60,1,0
1198902010051,1989,2,1,Multiple vehicle,f,,t,100,1,0
1198902010050,1989,2,1,Multiple vehicle,f,,t,100,1,0
3198903010047,1989,3,1,Single vehicle,f,,f,100,1,0
2198903010125,1989,3,1,Pedestrian,f,,f,60,1,0
4198903010038,1989,3,1,Multiple vehicle,f,,f,60,1,0
2198903010124,1989,3,1,Single vehicle,f,,f,100,1,0
1198903010124,1989,3,1,Multiple vehicle,f,,f,100,1,0
3198903010048,1989,3,1,Multiple vehicle,f,,f,100,2,0
2198903010122,1989,3,1,Single vehicle,f,,f,100,1,0
2198903010123,1989,3,1,Single vehicle,f,,f,110,1,0
1198903010125,1989,3,1,Single vehicle,f,,f,60,1,0
5198903010034,1989,3,1,Single vehicle,f,,f,110,1,0
2198904010195,1989,4,1,Pedestrian,f,,f,60,1,19
1198904010196,1989,4,1,Multiple vehicle,f,,f,60,1,19
5198904010052,1989,4,1,Multiple vehicle,f,,f,80,1,19
3198904010081,1989,4,1,Pedestrian,f,,f,60,1,19
4198904010054,1989,4,1,Pedestrian,f,,f,60,1,19
3198904010080,1989,4,1,Multiple vehicle,f,,f,100,1,19
1198905010236,1989,5,1,Pedestrian,f,,f,60,1,7
5198905010065,1989,5,1,Multiple vehicle,f,,f,60,1,7
1198905010237,1989,5,1,Multiple vehicle,f,,f,100,3,7
2198906010311,1989,6,1,Pedestrian,f,,f,60,1,2.8
5198906010079,1989,6,1,Multiple vehicle,f,,f,70,1,2.8
2198906010310,1989,6,1,Single vehicle,f,,f,100,1,2.8
2198908010426,1989,8,1,Pedestrian,f,,f,100,1,14
1198908010442,1989,8,1,Pedestrian,f,,f,80,1,14
4198908010109,1989,8,1,Single vehicle,f,,f,110,1,14
6198908010048,1989,8,1,Pedestrian,f,,f,100,1,14
5198908010116,1989,8,1,Multiple vehicle,f,,f,60,1,14
1198908010440,1989,8,1,Single vehicle,f,,f,60,1,14
1198908010441,1989,8,1,Single vehicle,f,,f,100,1,14
2198908010425,1989,8,1,Multiple vehicle,f,,f,60,1,14
1198909010497,1989,9,1,Multiple vehicle,f,,f,60,1,10
8198909010016,1989,9,1,Pedestrian,f,,t,-9,1,10
1198909010498,1989,9,1,Single vehicle,f,,f,100,1,10
1198909010499,1989,9,1,Multiple vehicle,f,,f,100,2,10
1198909010496,1989,9,1,Multiple vehicle,f,,t,100,1,10
4198909010124,1989,9,1,Multiple vehicle,f,,f,60,1,10
4198909010123,1989,9,1,Single vehicle,f,,f,110,1,10
3198910010257,1989,10,1,Multiple vehicle,f,,f,60,1,0
3198910010255,1989,10,1,Multiple vehicle,f,,f,100,1,0
5198910010156,1989,10,1,Single vehicle,f,,f,110,2,0
5198910010155,1989,10,1,Single vehicle,f,,f,110,1,0
3198910010256,1989,10,1,Multiple vehicle,f,,f,100,2,0
4198910010143,1989,10,1,Single vehicle,f,,f,60,1,0
2198910010543,1989,10,1,Single vehicle,f,,f,100,1,0
3198911010291,1989,11,1,Multiple vehicle,f,,f,100,1,0
3198911010293,1989,11,1,Multiple vehicle,f,,f,60,1,0
3198911010292,1989,11,1,Multiple vehicle,f,,f,100,1,0
1198911010647,1989,11,1,Pedestrian,t,,f,60,1,0
2198912010625,1989,12,1,Pedestrian,f,,f,60,1,0.6
3198912010335,1989,12,1,Multiple vehicle,f,,f,60,2,0.6
2198912010624,1989,12,1,Pedestrian,f,,t,60,1,0.6
2198912010623,1989,12,1,Single vehicle,f,,f,60,1,0.6
3198912010336,1989,12,1,Single vehicle,f,,f,60,1,0.6
1198912010710,1989,12,1,Multiple vehicle,f,,f,80,1,0.6
6199001010001,1990,1,1,Single vehicle,f,,f,100,1,0
2199001010001,1990,1,1,Single vehicle,f,,f,100,2,0
5199001010001,1990,1,1,Single vehicle,f,,f,110,1,0
3199001010001,1990,1,1,Single vehicle,f,,f,60,1,0
1199001010001,1990,1,1,Pedestrian,f,,f,100,2,0
1199001010002,1990,1,1,Pedestrian,f,,f,60,1,0
4199001010001,1990,1,1,Multiple vehicle,t,,f,80,1,0
2199001010002,1990,1,1,Multiple vehicle,f,,f,60,1,0
6199002010008,1990,2,1,Single vehicle,f,,f,100,1,27
3199002010021,1990,2,1,Multiple vehicle,f,,f,100,1,27
1199002010044,1990,2,1,Single vehicle,f,,f,80,1,27
3199002010022,1990,2,1,Pedestrian,f,,f,100,1,27
1199002010048,1990,2,1,Multiple vehicle,f,,f,60,1,27
2199002010045,1990,2,1,Multiple vehicle,f,,f,100,3,27
1199002010047,1990,2,1,Multiple vehicle,f,,f,100,1,27
1199002010045,1990,2,1,Multiple vehicle,f,,f,60,1,27
1199002010046,1990,2,1,Single vehicle,f,,f,100,1,27
3199002010020,1990,2,1,Single vehicle,f,,t,100,1,27
2199002010046,1990,2,1,Single vehicle,f,,f,100,1,27
3199003010044,1990,3,1,Single vehicle,f,,f,100,1,39
5199003010031,1990,3,1,Single vehicle,f,,f,110,1,39
2199003010083,1990,3,1,Multiple vehicle,f,,f,100,1,39
1199003010094,1990,3,1,Multiple vehicle,f,,t,60,1,39
1199003010095,1990,3,1,Single vehicle,f,,f,80,1,39
6199003010015,1990,3,1,Multiple vehicle,f,,t,100,1,39
2199003010082,1990,3,1,Pedestrian,f,,f,60,1,39
